segment_L,accession_L,country,admin1,location,latitude,longitude
KF478761|Bamba_R114|Mouse|Mali|2012-03,KF478761,MLI,,Bamba,10.3831,-7.1517
KF478764|Ouoma-R123|Mn|NGA|2012-03,KF478764,MLI,,Ouoma,10.397222,-7.259167
KF478763|Soromba-R30|Mn|NGA|2012-03-03,KF478763,MLI,,Soromba,10.5891,-7.1558
GU573545|Soromba_R245|Mouse|Mali|2009,GU573545,MLI,,Soromba,10.5891,-7.1558
GU573541|Soromba_R240|Mouse|Mali|2009,GU573541,MLI,,Soromba,10.5891,-7.1558
KF478760|Komina_R16|Mouse|Mali|2012-03-03,KF478760,MLI,,Komina,10.6164,-7.1583
GU573546|Soromba_R249|Mouse|Mali|2009,GU573546,MLI,,Soromba,10.5891,-7.1558
MG812633|807978|Human|Liberia|1981,MG812633,LBR,,,NA,NA
MG812668|LF17019|Human|Liberia_Bong|2017-05-04,MG812668,LBR,Bong,Jorquelleh,6.99556,-9.47222
GU979510|Lib05-2096/127|Human|Liberia|2005,GU979510,LBR,,,NA,NA
MH215288|LF18042|Human|Liberia_Nimba|2018-03-01,MH215288,LBR,Nimba,,NA,NA
MH215280|LF18002|Human|Liberia_Nimba|2018-01-10,MH215280,GIN,Yomou,,NA,NA
MG812659|812337|Human|Liberia|2014,MG812659,LBR,,,NA,NA
MG812664|LF16016|Human|Liberia_Nimba|2016-04-13,MG812664,LBR,Nimba,Garr bain,7.24306,-8.87194
MG812660|LF13007|Human|Liberia_Nimba|2013-04-29,MG812660,LBR,Nimba,Saclepea-Mah,NA,NA
MH215282|LF18037|Human|Liberia_Nimba|2018-02-13,MH215282,LBR,Nimba,,NA,NA
MG812672|LF17001|Human|Liberia_Nimba|2017-01-09,MG812672,LBR,Nimba,,NA,NA
MG812671|LF17020|Human|Liberia_Nimba|2017-05-02,MG812671,LBR,Nimba,Saclepea-Mah,NA,NA
MG812666|LF17007|Human|Liberia_Nimba|2017-01-09,MG812666,LBR,Nimba,Saclepea-Mah,NA,NA
MG812656|LF13006|Human|Liberia_Nimba|2013-04-29,MG812656,LBR,Nimba,Saclepea-Mah,NA,NA
AY870334|Lib04-2739|Human|Liberia|2004,AY870334,LBR,,,NA,NA
MG812678|811606|Human|Liberia|2010,MG812678,LBR,,,NA,NA
MH215286|LF18041|Human|Liberia_Monsterrado|2018-03-03,MH215286,LBR,Montserrado,,NA,NA
MG812651|812673|Human|Liberia|2015,MG812651,LBR,,,NA,NA
MH215278|LF18001|Human|Liberia_Bong|2018-01-10,MH215278,LBR,Bong,,NA,NA
MG812652|LF11003|Human|Liberia_Bong|2011-02-20,MG812652,LBR,Bong,Suakoko,6.98986,-9.580031
MG812676|LF17013|Human|Liberia_Bong|2017-02-13,MG812676,LBR,Bong,Jorquelleh,6.99556,-9.47222
MG812654|LF11011|Human|Liberia_Bong|2011-04-14,MG812654,LBR,Bong,Jorquelleh,6.99556,-9.47222
MG812662|LF16004|Human|Liberia_Bong|2016-02-26,MG812662,LBR,Bong,Jorquelleh,6.99556,-9.47222
MK044799|Bantou289|Mn|GIN|2003-09-25,MK044799,GIN,,,NA,NA
GU979513|BA366|Mouse|Guinea|2003,GU979513,GIN,Faranah,Bantou,10.059767,-10.58615
MG812630|807987|Human|Liberia|1981,MG812630,LBR,,,NA,NA
AY628204|Z148|?|LIB|1981,AY628204,LIB,,,NA,NA
MH215284|LF18040|Human|Liberia_Monsterrado|2018-03-02,MH215284,LBR,Montserrado,,NA,NA
KM821799|G1442_SLE_2011|Human|Sierra_Leone|2011-01-20,KM821799,SLE,Kenema,Tongo,8.2188562,-11.0604289
KM821797|G1200_LIB_2010|Human|Liberia|2010,KM821797,LBR,,,NA,NA
KT992427|Mad41|Mouse|Guinea|2014-05-08,KT992427,GIN,Kindia,MadinaOula,9.87,-12.43
KT992429|Mad63|Mouse|Guinea|2014-05-09,KT992429,GIN,Kindia,MadinaOula,9.87,-12.43
KT992430|Mad69|Mouse|Guinea|2014-05-09,KT992430,GIN,Kindia,MadinaOula,9.87,-12.43
KT992431|Mad83|Mouse|Guinea|2014-05-10,KT992431,GIN,Kindia,MadinaOula,9.87,-12.43
KT992428|Mad62|Mouse|Guinea|2014-05-09,KT992428,GIN,Kindia,MadinaOula,9.87,-12.43
KT992426|Mad39|Mouse|Guinea|2014-05-08,KT992426,GIN,Kindia,MadinaOula,9.87,-12.43
KM821821|G2141_SLE_2011|Human|Sierra_Leone|2011-11-11,KM821821,SLE,Kenema,Ngomba Wandoh,NA,NA
KM821855|G2431_SLE_2012|Human|Sierra_Leone|2012-04-02,KM821855,SLE,Bo,Gondama,7.86688,-11.70931
AY363909|SL25|Human|SLE|2002,AY363909,SLE,,,NA,NA
AY363910|SL26|Human|SLE|2002,AY363910,SLE,,,NA,NA
KM821846|G2363_SLE_2012|Human|Sierra_Leone|2012-02-27,KM821846,SLE,Bo,Gondama,7.86688,-11.70931
KM821903|G3234_SLE_2013|Human|Sierra_Leone|2013-07-15,KM821903,SLE,Bo,Upper Saama,7.666711,-11.859363
KM821801|G1529_SLE_2011|Human|Sierra_Leone|2011-03-02,KM821801,SLE,Bo,Gondama,7.86688,-11.70931
KM821868|G2615_SLE_2012|Human|Sierra_Leone|2012-07-24,KM821868,SLE,Bo,Gondama,7.86688,-11.70931
KM821860|G2557_SLE_2012|Human|Sierra_Leone|2012-06-26,KM821860,SLE,Bo,Taninahun Malin,7.891162,-12.086255
KM821834|G2259_SLE_2012|Human|Sierra_Leone|2012-01-16,KM821834,SLE,Bo,Gondama,7.86688,-11.70931
KM821908|G3278_SLE_2013|Human|Sierra_Leone|2013-08-02,KM821908,SLE,Bo,Torpkoi Town,7.9538763,-11.7132483
KM821870|G2723_SLE_2012|Human|Sierra_Leone|2012-08-21,KM821870,SLE,Bo,Gondama,7.86688,-11.70931
KM821836|G2263_SLE_2012|Human|Sierra_Leone|2012-01-17,KM821836,SLE,Kailahun,Borbohun,NA,NA
AY179172|NL|Human|SLE|2000-07-10,AY179172,SLE,,,NA,NA
MG812646|las803209|Human|Sierra_Leone|1975,MG812646,SLE,Kailahun,Segbwema,7.997399,-10.950236
MG812682|808714|Human|SierraLeone|1980,MG812682,SLE,,,NA,NA
MG812642|806568|Human|SierraLeone|1979,MG812642,SLE,,,NA,NA
KM821853|G2427_SLE_2012|Human|Sierra_Leone|2012-03-31,KM821853,SLE,Kenema,Nekabu,7.925974,-11.054267
